ID;Customer_Subtype;Number_of_houses;Avg_size_household;Avg_age;Customer_main_type;Roman_catholic;Protestant;Other_religion;No_religion;Married;Living_together;Other_relation;Singles;Household_without_children;Household_with_children;High_level_education;Medium_level_education;Lower_level_education;High_status;Entrepreneur;Farmer;Middle_management;Skilled_labourers;Unskilled_labourers;Social_class_A;Social_class_B1;Social_class_B2;Social_class_C;Social_class_D;Rented_house;Home_owners;One_car;Two_cars;No_car;National_Health_Service;Private_health_insurance;Income_LT_30000;Income_30_45000;Income_45_75000;Income_75_122000;Income_GT123000;Average_income;Purchasing_power_class;Contribution_private_third_party_insurance;Contribution_third_party_insurance_firms;Contribution_third_party_insurane_agriculture;Contribution_car_policies;Contribution_delivery_van_policies;Contribution_motorcycle_scooter_policies;Contribution_lorry_policies;Contribution_trailer_policies;Contribution_tractor_policies;Contribution_agricultural_machines_policies;Contribution_moped_policies;Contribution_life_insurances;Contribution_private_accident_insurance_policies;Contribution_family_accidents_insurance_policies;Contribution_disability_insurance_policies;Contribution_fire_policies;Contribution_surfboard_policies;Contribution_boat_policies;Contribution_bicycle_policies;Contribution_property_insurance_policies;Contribution_social_security_insurance_policies;Number_of_private_third_party_insurance;Number_of_third_party_insurance_firms;Number_of_third_party_insurane_agriculture;Number_of_car_policies;Number_of_delivery_van_policies;Number_of_motorcycle_scooter_policies;Number_of_lorry_policies;Number_of_trailer_policies;Number_of_tractor_policies;Number_of_agricultural_machines_policies;Number_of_moped_policies;Number_of_life_insurances;Number_of_private_accident_insurance_policies;Number_of_family_accidents_insurance_policies;Number_of_disability_insurance_policies;Number_of_fire_policies;Number_of_surfboard_policies;Number_of_boat_policies;Number_of_bicycle_policies;Number_of_property_insurance_policies;Number_of_social_security_insurance_policies;Number_of_mobile_home_policies_num
644;Low income catholics;1;2;50-60 years;Retired and Religeous;0 PCT;6;0;3;4;0;5;3;4;3;0;4;5;2;0;0;2;4;3;1;0;2;4;3;9;0;5;0;4;5;4;6;2;1;0;0;2;1;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
645;Religious elderly singles;1;2;50-60 years;Retired and Religeous;11 - 23 PCT;6;2;2;2;0;7;4;3;2;0;4;6;1;0;1;1;1;7;0;1;1;7;1;1;8;5;0;4;9;0;4;3;3;0;0;3;2;f 50 – 99;0;0;6;0;0;0;0;0;0;0;3;0;2;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0
646;Young all american family;1;3;40-50 years;Average Family;0 PCT;6;0;3;6;0;3;2;4;4;4;3;2;7;0;0;0;2;0;7;0;0;2;0;0;9;9;0;0;4;5;0;5;4;0;0;4;6;f 0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
647;Modern complete families;1;3;40-50 years;Average Family;1 - 10 PCT;4;2;3;5;2;3;2;5;4;2;5;3;2;1;1;4;3;2;2;2;3;2;1;1;8;6;2;2;6;3;1;4;4;1;0;4;4;f 50 – 99;0;0;6;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
648;Large family farms;1;3;30-40 years;Farmers;0 PCT;6;0;3;6;3;0;0;5;4;1;7;2;3;0;3;3;0;1;4;2;2;2;0;0;9;4;5;0;3;6;0;4;4;2;0;5;3;f 0;0;0;7;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
649;Career and childcare;2;3;30-40 years;Driven Growers;11 - 23 PCT;5;0;3;9;0;0;3;3;4;7;2;0;9;0;0;0;0;0;0;6;3;0;0;0;9;7;2;0;2;7;3;6;0;0;0;3;8;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
650;Lower class large families;1;3;40-50 years;Family with grown ups;11 - 23 PCT;7;0;0;9;0;0;3;2;4;0;3;6;1;0;2;3;2;3;1;2;2;5;1;4;5;7;2;0;9;0;4;4;1;0;0;3;3;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
651;High status seniors;1;3;50-60 years;Successful hedonists;0 PCT;9;0;0;9;0;0;0;6;3;0;6;3;4;0;0;4;0;3;3;0;4;3;0;4;6;9;0;0;6;4;3;4;4;0;0;4;6;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
652;Young low educated ;1;2;40-50 years;Living well;24 - 36 PCT;1;1;5;3;2;5;5;4;2;0;8;1;1;0;0;5;2;2;1;2;6;2;0;2;7;5;2;2;8;1;4;5;1;0;0;2;2;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
653;Lower class large families;1;3;40-50 years;Family with grown ups;1 - 10 PCT;4;1;4;6;0;3;2;2;5;1;4;5;2;1;1;3;3;2;2;2;2;4;1;3;6;6;1;2;6;3;3;2;3;1;1;4;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
654;Mixed seniors;1;3;50-60 years;Retired and Religeous;1 - 10 PCT;5;1;3;8;1;1;2;5;3;2;3;5;1;1;1;5;3;1;1;1;3;5;1;4;5;7;0;2;5;4;2;3;4;1;0;4;1;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
655;Lower class large families;1;3;40-50 years;Family with grown ups;0 PCT;1;3;5;7;0;2;1;1;8;0;1;8;1;1;0;1;6;3;1;1;0;5;3;9;0;5;2;3;7;2;1;6;3;0;0;4;3;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
656;Residential elderly;1;2;60-70 years;Cruising Seniors;1 - 10 PCT;7;1;1;6;1;3;3;5;1;2;4;4;2;2;3;2;1;1;2;1;4;3;1;3;6;5;0;4;5;4;1;4;3;2;0;4;1;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
657;Mixed small town dwellers;1;3;40-50 years;Family with grown ups;0 PCT;6;1;3;8;1;1;1;3;6;0;3;6;0;0;2;3;4;1;0;2;4;4;1;2;7;7;1;2;6;3;2;2;6;0;0;4;4;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
658;Large religous families;1;3;40-50 years;Conservative families;0 PCT;5;1;4;5;2;3;2;2;6;0;2;7;2;0;0;1;3;5;1;1;1;6;2;8;1;6;1;3;9;0;2;6;1;0;0;3;5;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
659;Lower class large families;1;2;50-60 years;Family with grown ups;0 PCT;5;2;2;9;0;0;0;6;3;7;0;2;3;5;0;0;0;2;6;0;2;2;0;0;9;9;0;0;2;7;0;2;5;2;0;6;3;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
660;Lower class large families;1;3;50-60 years;Family with grown ups;0 PCT;5;0;4;9;0;0;0;4;5;0;3;6;0;0;0;3;6;0;0;2;0;7;0;4;5;9;0;0;9;0;5;4;0;0;0;2;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
661;Young low educated ;1;2;50-60 years;Living well;1 - 10 PCT;5;1;3;6;0;3;4;3;3;1;3;5;2;1;0;3;3;2;1;1;2;5;2;5;4;6;0;3;6;3;3;3;2;1;0;3;2;f 0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
662;Middle class families;1;3;40-50 years;Driven Growers;1 - 10 PCT;5;1;3;7;1;2;0;2;7;5;3;2;3;1;0;4;2;1;4;3;2;2;1;1;8;7;0;2;5;4;1;2;4;3;1;6;7;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
663;Traditional families;1;2;40-50 years;Conservative families;0 PCT;3;2;5;5;1;3;3;3;4;2;3;5;3;1;0;1;3;3;2;1;2;4;2;4;5;5;1;4;7;2;5;2;3;1;0;3;4;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
664;Dinki's (double income no kids);1;2;60-70 years;Driven Growers;1 - 10 PCT;8;0;1;6;1;3;3;5;2;2;4;4;6;0;0;3;1;1;4;1;4;1;0;4;5;7;2;1;6;3;3;3;4;1;0;3;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
665;Traditional families;1;3;40-50 years;Conservative families;0 PCT;3;0;6;7;0;2;0;4;5;0;0;9;0;0;0;0;5;4;0;0;0;6;3;5;4;5;3;3;9;0;4;5;0;0;0;2;3;f 50 – 99;2;0;6;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
666;Residential elderly;1;2;50-60 years;Cruising Seniors;1 - 10 PCT;7;1;2;7;1;2;2;6;1;3;5;2;3;3;1;2;2;1;3;1;2;3;2;2;7;7;0;2;5;4;2;4;3;2;0;4;1;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
667;Middle class families;2;3;40-50 years;Driven Growers;11 - 23 PCT;4;1;3;6;1;2;2;3;4;3;4;3;3;1;0;4;1;2;3;2;3;2;1;3;6;6;2;2;6;3;2;3;4;2;1;5;7;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
668;High Income expensive child;1;4;30-40 years;Successful hedonists;24 - 36 PCT;3;3;2;7;0;2;0;0;9;3;6;0;3;0;0;3;0;3;2;0;5;2;0;0;9;6;3;0;3;6;3;4;0;3;0;4;8;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
669;Low income catholics;1;3;40-50 years;Retired and Religeous;0 PCT;2;3;4;6;0;3;2;0;7;0;3;6;0;0;0;3;3;4;0;2;0;7;0;9;0;7;0;2;9;0;2;5;3;0;0;3;1;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
670;Traditional families;1;2;30-40 years;Conservative families;0 PCT;4;2;4;7;1;2;3;4;3;1;1;8;1;0;0;3;6;0;1;1;1;8;0;3;6;7;1;1;8;1;0;7;2;0;0;4;4;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
671;Young low educated ;1;2;30-40 years;Living well;0 PCT;4;0;5;3;2;4;4;3;2;1;6;2;0;0;0;4;2;3;0;2;3;5;0;7;2;7;0;2;9;0;3;4;2;1;0;4;2;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
672;High Income expensive child;1;2;50-60 years;Successful hedonists;0 PCT;4;0;5;7;0;2;2;5;2;4;5;0;9;0;0;0;0;0;9;0;0;0;0;6;3;9;0;0;2;7;0;2;5;2;0;6;8;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
673;Lower class large families;2;3;40-50 years;Family with grown ups;0 PCT;4;0;5;7;0;2;2;1;6;0;2;7;0;0;0;3;6;0;0;1;1;6;2;4;5;5;2;3;8;1;3;4;2;0;0;3;3;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
674;Career and childcare;2;4;30-40 years;Driven Growers;0 PCT;6;0;3;9;0;0;0;1;8;4;5;1;5;1;0;2;2;1;5;2;2;2;1;0;9;8;1;0;3;6;0;3;5;2;0;5;8;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
675;High status seniors;1;2;40-50 years;Successful hedonists;0 PCT;6;1;3;5;0;4;3;3;4;1;3;5;1;0;1;6;1;3;1;2;2;3;3;2;7;7;0;2;7;2;0;5;4;0;0;4;6;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
676;Family starters;1;2;40-50 years;Average Family;1 - 10 PCT;4;1;5;5;1;4;3;4;2;0;4;5;1;1;2;4;3;1;1;3;3;3;1;2;7;5;1;4;7;2;5;3;2;0;0;3;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
677;Lower class large families;1;3;40-50 years;Family with grown ups;0 PCT;4;0;5;9;0;0;0;3;6;1;2;7;1;0;0;3;4;2;1;1;1;6;1;5;4;6;1;2;7;2;2;4;3;1;0;4;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
678;Couples with teens 'Married with children';1;1;40-50 years;Family with grown ups;1 - 10 PCT;6;1;2;1;0;8;8;1;1;0;4;5;1;0;2;2;4;1;0;4;1;5;1;2;7;3;0;6;9;0;8;1;1;0;0;2;3;f 50 – 99;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
679;Middle class families;1;3;40-50 years;Driven Growers;0 PCT;4;1;4;6;1;3;3;1;6;4;2;4;3;0;0;5;2;1;3;3;1;4;0;1;8;7;0;2;8;1;1;6;3;0;0;4;7;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
680;Seniors in apartments;1;2;40-50 years;Cruising Seniors;0 PCT;9;0;0;9;0;0;4;2;4;2;3;4;6;0;0;3;0;0;1;2;4;3;0;2;7;7;0;2;3;6;1;4;2;2;2;6;1;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
681;High Income expensive child;1;3;40-50 years;Successful hedonists;1 - 10 PCT;7;0;2;8;1;0;0;5;4;4;1;5;4;0;2;2;2;0;3;1;3;3;0;0;9;6;3;0;3;6;3;3;3;2;0;5;8;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
682;Large religous families;1;2;50-60 years;Conservative families;1 - 10 PCT;6;0;3;6;2;2;0;7;2;0;4;5;2;0;0;3;3;2;0;2;3;5;0;9;0;6;2;1;6;3;3;0;5;2;0;5;5;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
683;Affluent young families;1;3;40-50 years;Average Family;11 - 23 PCT;1;2;5;6;2;1;1;4;4;0;4;5;1;3;1;4;1;2;2;2;3;3;1;1;8;6;1;3;7;2;1;3;6;0;0;4;7;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
684;Low income catholics;1;3;40-50 years;Retired and Religeous;0 PCT;5;0;4;5;1;4;2;4;4;1;2;7;0;0;1;2;1;6;1;1;0;2;6;8;1;4;2;4;8;1;2;7;1;0;0;3;1;f 50 – 99;0;0;6;0;0;0;0;0;0;0;3;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
685;Middle class families;1;3;40-50 years;Driven Growers;1 - 10 PCT;6;2;1;7;0;2;1;2;6;4;3;2;5;1;0;2;1;1;5;2;1;2;0;2;7;6;3;1;4;5;1;2;6;2;0;6;7;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
686;Mixed rurals;1;3;40-50 years;Farmers;1 - 10 PCT;4;1;4;7;1;2;2;4;4;2;4;4;3;1;2;2;2;1;2;2;3;3;1;4;5;6;2;1;5;4;3;3;3;2;1;4;4;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
687;Young all american family;1;4;30-40 years;Average Family;0 PCT;7;0;2;7;2;0;1;1;8;2;3;5;1;0;0;7;2;1;0;3;2;5;0;0;9;9;0;0;6;3;2;4;4;0;0;4;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
688;Mixed apartment dwellers;1;2;40-50 years;Living well;1 - 10 PCT;3;2;5;5;2;2;4;3;3;1;4;5;1;0;0;3;1;4;1;1;3;3;3;7;2;6;1;3;8;1;2;5;3;1;0;4;2;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
689;Large religous families;1;3;40-50 years;Conservative families;0 PCT;7;0;2;6;0;3;3;2;5;2;2;6;3;0;0;1;0;6;2;2;1;2;5;1;8;5;1;3;7;2;5;4;0;0;0;2;5;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
690;Religious elderly singles;1;3;30-40 years;Retired and Religeous;0 PCT;2;0;7;6;3;0;0;5;4;0;3;6;0;0;0;3;0;6;0;0;3;6;0;9;0;7;0;2;9;0;3;6;0;0;0;3;2;f 50 – 99;0;0;6;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
691;Lower class large families;1;2;30-40 years;Family with grown ups;0 PCT;4;0;5;4;0;5;3;3;3;0;3;6;2;0;0;2;0;6;1;0;2;6;2;7;2;7;0;2;9;0;5;4;0;0;0;2;3;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
692;Young low educated ;1;2;40-50 years;Living well;11 - 23 PCT;3;1;5;4;2;5;4;4;2;4;3;3;4;1;0;2;1;3;3;1;3;3;1;8;1;5;1;4;3;6;5;2;2;0;0;2;2;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
693;Young low educated ;1;2;30-40 years;Living well;1 - 10 PCT;4;1;4;2;2;5;5;3;1;1;4;4;2;0;0;2;2;4;2;1;2;5;1;7;2;6;0;3;7;2;4;3;2;1;0;3;2;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
694;Large religous families;1;2;50-60 years;Conservative families;24 - 36 PCT;5;1;1;4;2;4;4;4;1;2;3;5;2;2;1;2;3;1;2;1;2;3;2;7;2;5;0;4;7;2;6;2;2;1;0;2;5;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
695;Village families;1;3;40-50 years;Family with grown ups;0 PCT;4;0;5;5;2;3;2;2;6;0;4;5;0;0;0;4;4;1;0;0;2;7;1;1;8;6;2;2;8;1;4;1;0;4;0;5;5;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
696;Affluent young families;1;3;40-50 years;Average Family;0 PCT;6;0;3;6;0;3;2;4;4;4;3;2;7;0;0;0;2;0;7;0;0;2;0;0;9;9;0;0;4;5;0;5;4;0;0;4;7;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
697;Affluent senior apartments;3;2;50-60 years;Successful hedonists;11 - 23 PCT;1;5;2;7;0;2;1;6;3;2;5;2;5;2;1;1;0;2;4;3;1;2;0;2;7;7;0;2;5;4;1;1;8;0;0;5;6;f 0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
698;Low income catholics;1;2;40-50 years;Retired and Religeous;0 PCT;4;2;4;7;1;2;2;5;3;0;2;7;2;0;1;2;4;2;1;1;1;7;1;6;3;6;1;2;7;2;6;3;1;0;0;2;1;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
699;Lower class large families;1;3;40-50 years;Family with grown ups;1 - 10 PCT;5;1;3;7;1;2;2;3;5;2;4;4;3;1;2;2;2;1;3;2;3;3;1;3;6;6;2;1;5;4;3;2;3;2;1;4;3;f 0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
700;Young all american family;1;3;30-40 years;Average Family;0 PCT;7;2;0;7;2;0;0;6;3;2;7;0;2;0;0;7;0;0;2;3;4;0;0;0;9;7;2;0;7;2;0;6;3;0;0;4;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
701;Seniors in apartments;2;2;50-60 years;Cruising Seniors;0 PCT;5;2;3;7;0;2;2;5;3;0;1;8;0;0;0;2;4;3;0;0;1;7;2;9;0;8;0;1;7;2;5;4;0;0;0;2;1;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
702;Couples with teens 'Married with children';1;2;40-50 years;Family with grown ups;1 - 10 PCT;4;1;4;6;2;3;3;4;3;1;4;5;1;1;0;3;2;4;1;2;2;5;1;5;4;6;1;3;7;2;3;4;3;1;0;3;3;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
703;Affluent young families;1;3;30-40 years;Average Family;37 - 49 PCT;1;0;5;6;3;0;0;4;5;5;3;2;5;0;0;3;1;2;4;3;1;2;0;0;9;6;3;0;2;7;0;3;4;3;1;7;7;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
704;Middle class families;1;3;40-50 years;Driven Growers;0 PCT;4;1;4;6;1;3;3;1;6;4;2;4;3;0;0;5;2;1;3;3;1;4;0;1;8;7;0;2;8;1;1;6;3;0;0;4;7;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
705;Lower class large families;1;2;40-50 years;Family with grown ups;1 - 10 PCT;4;1;4;6;2;3;3;4;3;1;4;5;1;1;0;3;2;4;1;2;2;5;1;5;4;6;1;3;7;2;3;4;3;1;0;3;3;f 50 – 99;0;0;6;0;5;0;0;0;0;0;3;0;0;0;4;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1
706;Young all american family;1;3;30-40 years;Average Family;1 - 10 PCT;5;1;3;8;1;1;1;3;6;4;4;2;4;1;0;3;1;1;3;2;3;2;0;1;8;7;1;1;4;5;1;3;4;2;1;5;6;f 50 – 99;0;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
707;Religious elderly singles;1;2;50-60 years;Retired and Religeous;0 PCT;3;0;6;2;0;7;6;0;3;0;2;7;4;0;0;0;0;5;0;2;0;7;0;6;3;3;0;6;7;2;7;0;2;0;0;2;2;f 1 – 49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
708;Lower class large families;1;2;40-50 years;Family with grown ups;0 PCT;7;0;2;7;2;0;0;5;4;0;3;6;2;0;0;2;5;2;2;1;2;5;2;0;9;4;4;2;6;3;2;5;3;0;0;3;3;f 50 – 99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
709;Dinki's (double income no kids);1;3;30-40 years;Driven Growers;0 PCT;7;2;0;7;2;0;0;6;3;2;7;0;2;0;0;7;0;0;2;3;4;0;0;0;9;7;2;0;7;2;0;6;3;0;0;4;6;f 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
